dates,GDP,CPI,FEDFUNDS,EMRATIO,WTI_OIL,GSCPI,DIVISIA_M3,GOV_SPEND,GOV_DEBT
2020.01,-0.08623186,-0.009628899,1.26,60.7,-0.49801468,3.13549422,0.053317671,0.3566947,0.074538302
2020.02,0.08351562,0.01132761,0.06,52.9,0.38548987,0.08338161,0.101336065,-0.10028299,0.090117693
2020.03,0.01725994,0.006919379,0.09,56.1,0.03744138,-1.27296568,0.011868154,-0.13716494,0.017157025
2020.04,0.02580238,0.0102522,0.09,57.4,0.30848884,0.5389965,0.019205333,0.26236575,0.017559818
2021.01,0.03016665,0.0181485,0.08,57.6,0.1342017,0.65058757,0.028110412,-0.15353293,-0.012199851
2021.02,0.02277624,0.015994431,0.07,58,0.06629594,0.23180161,0.02973469,-0.03686411,0.01593298
2021.03,0.03406185,0.021103031,0.09,58.6,0.09231918,0.18805223,0.018369454,-0.04495734,0.005020629
2021.04,0.01507645,0.021931326,0.08,59.3,0.19843803,0.15822401,0.022631904,-0.04788661,0.021868611
2022.01,0.02037347,0.023074077,0.12,59.9,0.14070518,-0.31237469,0.004749919,0.05191269,-0.013618452
2022.02,0.01747695,0.013491619,0.77,59.9,-0.15424266,-0.26570317,0.001735999,0.01352751,-0.020658386
2022.03,0.01579178,0.010201593,2.19,60,-0.11822583,-0.73759894,-0.002310547,0.03119258,-0.023867371
2022.04,0.017824497,0.01298317,3.65,60,0.053899723,0.217990479,0.026249914,0.017727665,0.015622818
